,tenure,MonthlyCharges,OnlineSecurity,InternetService,Contract,TechSupport,Churn Probability
0,1,29.85,No,DSL,Month-to-month,No,0.7196369005274911
1,34,56.95,Yes,DSL,One year,No,0.16845141034382208
2,2,53.85,Yes,DSL,Month-to-month,No,0.5557691547960265
3,45,42.3,Yes,DSL,One year,Yes,0.15077467210519702
4,2,70.7,No,Fiber optic,Month-to-month,No,0.8359367332645666
5,8,99.65,No,Fiber optic,Month-to-month,No,0.8347755932823537
6,22,89.1,No,Fiber optic,Month-to-month,No,0.731159083798774
7,10,29.75,Yes,DSL,Month-to-month,No,0.456550799636357
8,28,104.8,No,Fiber optic,Month-to-month,Yes,0.5879437610331326
9,62,56.15,Yes,DSL,One year,No,0.16325698126464142
10,13,49.95,Yes,DSL,Month-to-month,No,0.44879033210581637
11,16,18.95,No internet service,No,Two year,No internet service,0.058700531405723344
12,58,100.35,No,Fiber optic,One year,No,0.40788843586724366
13,49,103.7,No,Fiber optic,Month-to-month,No,0.7086788588195662
14,25,105.5,Yes,Fiber optic,Month-to-month,Yes,0.442959087295934
15,69,113.25,Yes,Fiber optic,Two year,Yes,0.16357866650901967
16,52,20.65,No internet service,No,One year,No internet service,0.060743172097796706
17,71,106.7,Yes,Fiber optic,Two year,No,0.14271208002199884
18,10,55.2,No,DSL,Month-to-month,Yes,0.4597840076910696
19,21,90.05,No,Fiber optic,Month-to-month,No,0.734022806127542
20,1,39.65,No,DSL,Month-to-month,No,0.7196369005274911
21,12,19.8,No internet service,No,One year,No internet service,0.07806259463190358
22,1,20.15,No internet service,No,Month-to-month,No internet service,0.5511693661797352
23,58,59.9,No,DSL,Two year,Yes,0.08225894219358654
24,49,59.6,Yes,DSL,Month-to-month,Yes,0.2810182727829726
25,30,55.3,Yes,DSL,Month-to-month,No,0.40508603210206684
26,47,99.35,No,Fiber optic,Month-to-month,No,0.7102158388451207
27,1,30.2,No,DSL,Month-to-month,No,0.7196369005274911
28,72,90.25,Yes,DSL,Two year,Yes,0.03794618393421254
29,17,64.7,No,DSL,Month-to-month,No,0.49558749663527046
30,71,96.35,Yes,Fiber optic,Two year,Yes,0.11143025231860079
31,2,95.5,No,Fiber optic,Month-to-month,No,0.8410866576722458
32,27,66.15,Yes,DSL,One year,Yes,0.14893491365400616
33,1,20.2,No internet service,No,Month-to-month,No internet service,0.5511693661797352
34,1,45.25,No,DSL,Month-to-month,No,0.7192166106724185
35,72,99.9,Yes,Fiber optic,Two year,Yes,0.0804801608545309
36,5,69.7,No,Fiber optic,Month-to-month,No,0.8281236271678482
37,46,74.8,No,Fiber optic,Month-to-month,No,0.7042055474779451
38,34,106.35,No,Fiber optic,Month-to-month,No,0.7147724874073771
39,11,97.85,No,Fiber optic,Month-to-month,No,0.825835235792516
40,10,49.55,No,DSL,One year,No,0.32803497352766914
41,70,69.2,Yes,DSL,Two year,No,0.0710454529585757
42,17,20.75,No internet service,No,One year,No internet service,0.0655746641456924
43,63,79.85,Yes,DSL,Two year,Yes,0.045527294203539
44,13,76.2,Yes,DSL,Month-to-month,Yes,0.3366276529511433
45,49,84.5,No,Fiber optic,Month-to-month,No,0.7075146019717209
46,2,49.25,No,DSL,Month-to-month,No,0.7142643114881945
47,2,80.65,No,Fiber optic,Month-to-month,No,0.8407762470214745
48,52,79.75,Yes,DSL,Two year,Yes,0.04923046593630743
49,69,64.15,Yes,DSL,Two year,Yes,0.046341723658416274
50,43,90.25,No,Fiber optic,Month-to-month,No,0.7114342963339193
51,15,99.1,Yes,Fiber optic,Month-to-month,No,0.6497817724346633
52,25,69.5,Yes,DSL,Month-to-month,Yes,0.2836816664622709
53,8,80.65,No,Fiber optic,Month-to-month,No,0.834053205445602
54,60,74.85,Yes,DSL,One year,Yes,0.14155409096048424
55,18,95.45,No,Fiber optic,Month-to-month,No,0.7413273602523172
56,63,99.65,Yes,Fiber optic,One year,No,0.2621182808384942
57,66,108.45,No,Fiber optic,One year,Yes,0.3882015580445947
58,34,24.95,No internet service,No,Two year,No internet service,0.028341061759341493
59,72,107.5,No,Fiber optic,Two year,Yes,0.17206135302027561
60,47,100.5,No,Fiber optic,Month-to-month,No,0.7102158388451207
61,60,89.9,No,Fiber optic,Month-to-month,No,0.6814674610734878
62,72,42.1,Yes,DSL,Two year,No,0.0782123752130021
63,18,54.4,No,DSL,One year,Yes,0.23943746878135586
64,9,94.4,No,Fiber optic,Month-to-month,No,0.8336516375692432
65,3,75.3,No,DSL,Month-to-month,Yes,0.5087401548901562
66,47,78.9,No,Fiber optic,One year,No,0.35209863064946617
67,31,79.2,No,DSL,Two year,Yes,0.0897846859039668
68,50,20.15,No internet service,No,Two year,No internet service,0.027389979946233094
69,10,79.85,Yes,Fiber optic,Month-to-month,No,0.6031584715609506
70,1,49.05,No,DSL,Month-to-month,Yes,0.5699123119390243
71,52,20.4,No internet service,No,One year,No internet service,0.06381173090341351
72,64,111.6,Yes,Fiber optic,Two year,Yes,0.17353221360415857
73,62,24.25,No internet service,No,Two year,No internet service,0.017809972222221162
74,3,64.5,Yes,DSL,Month-to-month,Yes,0.42715492651280085
75,56,110.5,Yes,Fiber optic,One year,No,0.3281384496667295
76,46,55.65,No,DSL,One year,No,0.25684289843948604
77,8,54.65,Yes,DSL,Month-to-month,No,0.454446544933556
78,30,74.75,Yes,DSL,Month-to-month,No,0.3643378524944525
79,45,25.9,No internet service,No,One year,No internet service,0.06356229000576852
80,1,79.35,No,Fiber optic,Month-to-month,No,0.8492521031383821
81,11,50.55,Yes,DSL,Month-to-month,No,0.4494351144567485
82,7,75.15,No,Fiber optic,Month-to-month,No,0.8330004781486192
83,42,103.8,No,Fiber optic,Month-to-month,Yes,0.5806832569314143
84,49,20.15,No internet service,No,Two year,No internet service,0.027337069893323043
85,9,99.3,No,Fiber optic,Month-to-month,No,0.8340636147552237
86,35,62.15,Yes,DSL,One year,No,0.16454087492058087
87,48,20.65,No internet service,No,Two year,No internet service,0.024540430515301626
88,46,19.95,No internet service,No,Two year,No internet service,0.027031908001671406
89,29,33.75,No,DSL,Month-to-month,No,0.5111621933303028
90,30,82.05,No,Fiber optic,Month-to-month,No,0.71430512361453
91,1,74.7,No,Fiber optic,Month-to-month,Yes,0.6637024576764019
92,66,84.0,Yes,DSL,Two year,Yes,0.04572447424191841
93,65,111.05,Yes,Fiber optic,Month-to-month,No,0.4331948754958117
94,72,100.9,No,Fiber optic,Two year,No,0.26219785412967206
95,12,78.95,Yes,Fiber optic,Month-to-month,No,0.6020233632050539
96,71,66.85,Yes,DSL,One year,Yes,0.13654204662399436
97,5,21.05,No internet service,No,Month-to-month,No internet service,0.26964680324638474
98,52,21.0,No internet service,No,Two year,No internet service,0.025506343969770827
99,25,98.5,No,Fiber optic,Month-to-month,No,0.7305557629343579
100,1,20.2,No internet service,No,Month-to-month,No internet service,0.5511693661797352
101,1,19.45,No internet service,No,Month-to-month,No internet service,0.534441485067162
102,38,95.0,No,Fiber optic,One year,Yes,0.3391617336375872
103,66,45.55,No,DSL,One year,No,0.25900518817702
104,68,110.0,No,Fiber optic,Two year,Yes,0.23131657179668233
105,5,24.3,No,DSL,Month-to-month,No,0.6574698120516886
106,72,104.15,Yes,Fiber optic,One year,No,0.2610978910579954
107,32,30.15,Yes,DSL,One year,No,0.17345988710654173
108,43,94.35,No,Fiber optic,One year,No,0.37195426889196087
109,72,19.4,No internet service,No,Two year,No internet service,0.040614557272317046
110,55,96.75,Yes,Fiber optic,Month-to-month,No,0.48307011656935583
111,52,57.95,Yes,DSL,One year,Yes,0.14596179831485373
112,43,91.65,No,Fiber optic,Month-to-month,No,0.7114342963339193
113,37,76.5,No,Fiber optic,Month-to-month,No,0.7129113042836158
114,64,54.6,No,DSL,Two year,Yes,0.08058363825824312
115,3,89.85,Yes,Fiber optic,Month-to-month,No,0.6032517666265401
116,36,31.05,Yes,DSL,Two year,No,0.0943505068508064
117,10,100.25,Yes,Fiber optic,Month-to-month,No,0.6588820908810038
118,41,20.65,No internet service,No,Two year,No internet service,0.024828088844619622
119,27,85.2,No,Fiber optic,Month-to-month,Yes,0.5800321133550266
120,56,99.8,No,Fiber optic,One year,No,0.4034988654878491
121,6,20.7,No internet service,No,Month-to-month,No internet service,0.2534410496182936
122,3,74.4,No,Fiber optic,Month-to-month,No,0.838032413023903
123,7,50.7,Yes,DSL,Month-to-month,No,0.45288689140150457
124,4,20.85,No internet service,No,Month-to-month,No internet service,0.28852799062040796
125,33,88.95,Yes,Fiber optic,Two year,Yes,0.13388590461234315
126,27,78.05,No,Fiber optic,Month-to-month,No,0.7160587278543155
127,72,23.55,No internet service,No,Two year,No internet service,0.020784640972432038
128,1,19.75,No internet service,No,Month-to-month,No internet service,0.53515809648521
129,71,56.45,Yes,DSL,One year,No,0.15810200101783273
130,13,85.95,No,Fiber optic,Month-to-month,No,0.823382068047382
131,25,58.6,Yes,DSL,Month-to-month,No,0.40216674466853797
132,67,50.55,No,DSL,Two year,Yes,0.08408398515159014
133,1,35.45,No,DSL,Month-to-month,No,0.7196369005274911
134,2,44.35,No,DSL,Month-to-month,No,0.7160764271633275
135,43,25.7,No internet service,No,Two year,No internet service,0.023701045361855952
136,23,75.0,Yes,Fiber optic,Month-to-month,No,0.5444778589164135
137,64,20.2,No internet service,No,Two year,No internet service,0.022461868393561193
138,57,19.6,No internet service,No,Two year,No internet service,0.038119599124582175
139,1,70.45,No,Fiber optic,Month-to-month,No,0.8442330362166276
140,72,88.05,Yes,DSL,Two year,Yes,0.03794618393421254
141,8,71.15,Yes,DSL,Month-to-month,Yes,0.35260027428657004
142,61,101.05,No,Fiber optic,Two year,No,0.277380385960598
143,64,84.3,Yes,Fiber optic,One year,No,0.23789736052221008
144,71,23.95,No internet service,No,Two year,No internet service,0.01584900814455563
145,65,99.05,Yes,Fiber optic,Two year,Yes,0.13460852475146504
146,3,19.6,No internet service,No,One year,No internet service,0.09944272406265377
147,1,45.65,No,DSL,Month-to-month,No,0.7192166106724185
148,30,64.5,No,DSL,One year,No,0.2500758313187753
149,15,69.5,No,DSL,Month-to-month,Yes,0.4261886567641342
150,8,68.55,No,DSL,Month-to-month,Yes,0.43720590317232666
151,7,95.0,No,Fiber optic,Month-to-month,No,0.8352673815505327
152,70,108.15,Yes,Fiber optic,One year,No,0.310732007894622
153,62,86.1,Yes,DSL,Two year,Yes,0.044465045355946586
154,6,19.7,No internet service,No,Month-to-month,No internet service,0.3227308241515915
155,14,80.9,No,Fiber optic,Month-to-month,No,0.8161437497905139
156,22,84.15,No,Fiber optic,Month-to-month,No,0.7291574843231206
157,22,20.15,No internet service,No,One year,No internet service,0.05688758721628089
158,16,64.25,Yes,DSL,Two year,No,0.10695400903160272
159,10,25.7,No internet service,No,Two year,No internet service,0.03538051107481879
160,13,56.0,Yes,DSL,Month-to-month,No,0.4476105382579692
161,20,82.4,Yes,Fiber optic,Month-to-month,No,0.5459306061808128
162,2,69.7,No,Fiber optic,Month-to-month,No,0.8359367332645666
